"filename", "language", "JavaScript", "Markdown", "MS SQL", "JSON", "HTML", "XML", "CSS", "comment", "blank", "total"
"c:\dev\tickets-new\README.md", "Markdown", 0, 400, 0, 0, 0, 0, 0, 0, 109, 509
"c:\dev\tickets-new\SECURITY.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 0, 15, 44
"c:\dev\tickets-new\assets\css\admin-scan.css", "CSS", 0, 0, 0, 0, 0, 0, 369, 0, 56, 425
"c:\dev\tickets-new\assets\css\admin.css", "CSS", 0, 0, 0, 0, 0, 0, 1133, 0, 163, 1296
"c:\dev\tickets-new\assets\css\logs.css", "CSS", 0, 0, 0, 0, 0, 0, 535, 0, 100, 635
"c:\dev\tickets-new\assets\css\offline-sync-v2.css", "CSS", 0, 0, 0, 0, 0, 0, 776, 0, 121, 897
"c:\dev\tickets-new\assets\css\reservation-status.css", "CSS", 0, 0, 0, 0, 0, 0, 479, 0, 82, 561
"c:\dev\tickets-new\assets\css\reservation.css", "CSS", 0, 0, 0, 0, 0, 0, 934, 0, 144, 1078
"c:\dev\tickets-new\assets\css\seats.css", "CSS", 0, 0, 0, 0, 0, 0, 1253, 0, 179, 1432
"c:\dev\tickets-new\assets\css\sidebar.css", "CSS", 0, 0, 0, 0, 0, 0, 213, 0, 36, 249
"c:\dev\tickets-new\assets\css\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 314, 0, 49, 363
"c:\dev\tickets-new\assets\css\walkin.css", "CSS", 0, 0, 0, 0, 0, 0, 288, 0, 47, 335
"c:\dev\tickets-new\assets\js\admin-scan.js", "JavaScript", 512, 0, 0, 0, 0, 0, 0, 50, 91, 653
"c:\dev\tickets-new\assets\js\admin-settings.js", "JavaScript", 231, 0, 0, 0, 0, 0, 0, 15, 45, 291
"c:\dev\tickets-new\assets\js\admin.js", "JavaScript", 1065, 0, 0, 0, 0, 0, 0, 116, 214, 1395
"c:\dev\tickets-new\assets\js\api-cache.js", "JavaScript", 252, 0, 0, 0, 0, 0, 0, 39, 57, 348
"c:\dev\tickets-new\assets\js\api.js", "JavaScript", 730, 0, 0, 0, 0, 0, 0, 97, 112, 939
"c:\dev\tickets-new\assets\js\audit-logger.js", "JavaScript", 211, 0, 0, 0, 0, 0, 0, 12, 28, 251
"c:\dev\tickets-new\assets\js\auth.js", "JavaScript", 370, 0, 0, 0, 0, 0, 0, 36, 42, 448
