"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "XML", "MS SQL", "CSS", "YAML", "comment", "blank", "total"
"c:\dev\tickets-new\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 8, 39
"c:\dev\tickets-new\README.md", "Markdown", 0, 0, 400, 0, 0, 0, 0, 0, 0, 109, 509
"c:\dev\tickets-new\SECURITY.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 15, 44
"c:\dev\tickets-new\assets\css\admin-scan.css", "CSS", 0, 0, 0, 0, 0, 0, 369, 0, 0, 56, 425
"c:\dev\tickets-new\assets\css\admin.css", "CSS", 0, 0, 0, 0, 0, 0, 1133, 0, 0, 163, 1296
"c:\dev\tickets-new\assets\css\logs.css", "CSS", 0, 0, 0, 0, 0, 0, 535, 0, 0, 100, 635
"c:\dev\tickets-new\assets\css\offline-sync-v2.css", "CSS", 0, 0, 0, 0, 0, 0, 776, 0, 0, 121, 897
"c:\dev\tickets-new\assets\css\reservation-status.css", "CSS", 0, 0, 0, 0, 0, 0, 479, 0, 0, 82, 561
"c:\dev\tickets-new\assets\css\reservation.css", "CSS", 0, 0, 0, 0, 0, 0, 932, 0, 0, 144, 1076
"c:\dev\tickets-new\assets\css\seats.css", "CSS", 0, 0, 0, 0, 0, 0, 1253, 0, 0, 179, 1432
"c:\dev\tickets-new\assets\css\sidebar.css", "CSS", 0, 0, 0, 0, 0, 0, 213, 0, 0, 36, 249
"c:\dev\tickets-new\assets\css\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 314, 0, 0, 49, 363
"c:\dev\tickets-new\assets\css\walkin.css", "CSS", 0, 0, 0, 0, 0, 0, 288, 0, 0, 47, 335
"c:\dev\tickets-new\assets\js\admin-scan.js", "JavaScript", 520, 0, 0, 0, 0, 0, 0, 0, 51, 93, 664
"c:\dev\tickets-new\assets\js\admin-settings.js", "JavaScript", 239, 0, 0, 0, 0, 0, 0, 0, 16, 49, 304
"c:\dev\tickets-new\assets\js\admin.js", "JavaScript", 1042, 0, 0, 0, 0, 0, 0, 0, 111, 212, 1365
"c:\dev\tickets-new\assets\js\api-cache.js", "JavaScript", 252, 0, 0, 0, 0, 0, 0, 0, 39, 57, 348
