Date : 2026-03-07 16:41:13
Directory : c:\dev\tickets-new
Total : 101 files,  36086 codes, 2964 comments, 6109 blanks, all 45159 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         50 |     21,289 |      2,625 |      3,809 |     27,723 |
| CSS        |         10 |      6,292 |          0 |        977 |      7,269 |
| HTML       |         10 |      5,914 |          0 |        752 |      6,666 |
| MS SQL     |         22 |      1,578 |        339 |        285 |      2,202 |
| Markdown   |          5 |        870 |          0 |        277 |      1,147 |
| JSON       |          2 |        103 |          0 |          0 |        103 |
| YAML       |          1 |         31 |          0 |          8 |         39 |
| XML        |          1 |          9 |          0 |          1 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |        101 |     36,086 |      2,964 |      6,109 |     45,159 |
| . (Files)                                                                                |          6 |      1,041 |         27 |        179 |      1,247 |
| .github                                                                                  |          1 |         31 |          0 |          8 |         39 |
| .github\workflows                                                                        |          1 |         31 |          0 |          8 |         39 |
| assets                                                                                   |         49 |     23,536 |      2,090 |      4,090 |     29,716 |
| assets\css                                                                               |         10 |      6,292 |          0 |        977 |      7,269 |
| assets\js                                                                                |         39 |     17,244 |      2,090 |      3,113 |     22,447 |
| docs                                                                                     |          3 |        441 |          0 |        153 |        594 |
| gas                                                                                      |         11 |      3,884 |        508 |        678 |      5,070 |
| pages                                                                                    |          9 |      5,575 |          0 |        716 |      6,291 |
| supabase                                                                                 |         22 |      1,578 |        339 |        285 |      2,202 |
| supabase\database                                                                        |         18 |      1,457 |        311 |        261 |      2,029 |
| supabase\migrations                                                                      |          4 |        121 |         28 |         24 |        173 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                 | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\dev\tickets-new\.github\workflows\deploy.yml                                          | YAML       |         31 |          0 |          8 |         39 |
| c:\dev\tickets-new\README.md                                                             | Markdown   |        400 |          0 |        109 |        509 |
| c:\dev\tickets-new\SECURITY.md                                                           | Markdown   |         29 |          0 |         15 |         44 |
| c:\dev\tickets-new\assets\css\admin-scan.css                                             | CSS        |        369 |          0 |         56 |        425 |
| c:\dev\tickets-new\assets\css\admin.css                                                  | CSS        |      1,133 |          0 |        163 |      1,296 |
| c:\dev\tickets-new\assets\css\logs.css                                                   | CSS        |        535 |          0 |        100 |        635 |
| c:\dev\tickets-new\assets\css\offline-sync-v2.css                                        | CSS        |        776 |          0 |        121 |        897 |
| c:\dev\tickets-new\assets\css\reservation-status.css                                     | CSS        |        479 |          0 |         82 |        561 |
| c:\dev\tickets-new\assets\css\reservation.css                                            | CSS        |        932 |          0 |        144 |      1,076 |
| c:\dev\tickets-new\assets\css\seats.css                                                  | CSS        |      1,253 |          0 |        179 |      1,432 |
| c:\dev\tickets-new\assets\css\sidebar.css                                                | CSS        |        213 |          0 |         36 |        249 |
| c:\dev\tickets-new\assets\css\styles.css                                                 | CSS        |        314 |          0 |         49 |        363 |
| c:\dev\tickets-new\assets\css\walkin.css                                                 | CSS        |        288 |          0 |         47 |        335 |
| c:\dev\tickets-new\assets\js\admin-scan.js                                               | JavaScript |        520 |         51 |         93 |        664 |
| c:\dev\tickets-new\assets\js\admin-settings.js                                           | JavaScript |        239 |         16 |         49 |        304 |
| c:\dev\tickets-new\assets\js\admin.js                                                    | JavaScript |      1,042 |        111 |        212 |      1,365 |
| c:\dev\tickets-new\assets\js\api-cache.js                                                | JavaScript |        252 |         39 |         57 |        348 |
| c:\dev\tickets-new\assets\js\api.js                                                      | JavaScript |        730 |         97 |        112 |        939 |
| c:\dev\tickets-new\assets\js\audit-logger.js                                             | JavaScript |        211 |         12 |         28 |        251 |
| c:\dev\tickets-new\assets\js\auth.js                                                     | JavaScript |        378 |         37 |         45 |        460 |
| c:\dev\tickets-new\assets\js\config.js                                                   | JavaScript |        300 |         51 |         52 |        403 |
| c:\dev\tickets-new\assets\js\connection-recovery.js                                      | JavaScript |        182 |         20 |         49 |        251 |
| c:\dev\tickets-new\assets\js\custom-dialog.js                                            | JavaScript |        202 |          2 |         25 |        229 |
| c:\dev\tickets-new\assets\js\enhanced-status-monitor.js                                  | JavaScript |        327 |         48 |         75 |        450 |
| c:\dev\tickets-new\assets\js\error-handler.js                                            | JavaScript |        169 |         13 |         27 |        209 |
| c:\dev\tickets-new\assets\js\error-notification.js                                       | JavaScript |        206 |         11 |         40 |        257 |
| c:\dev\tickets-new\assets\js\fallback-manager.js                                         | JavaScript |        147 |         22 |         30 |        199 |
| c:\dev\tickets-new\assets\js\full-capacity-monitor.js                                    | JavaScript |        197 |         28 |         44 |        269 |
| c:\dev\tickets-new\assets\js\index-main.js                                               | JavaScript |         63 |          9 |         16 |         88 |
| c:\dev\tickets-new\assets\js\logs-main.js                                                | JavaScript |        691 |        110 |        132 |        933 |
| c:\dev\tickets-new\assets\js\maintenance-check.js                                        | JavaScript |        250 |         21 |         31 |        302 |
| c:\dev\tickets-new\assets\js\offline-sync-v2.js                                          | JavaScript |      2,649 |        243 |        381 |      3,273 |
| c:\dev\tickets-new\assets\js\offline-sync.js                                             | JavaScript |        440 |         55 |         77 |        572 |
| c:\dev\tickets-new\assets\js\optimized-api.js                                            | JavaScript |        279 |         39 |         50 |        368 |
| c:\dev\tickets-new\assets\js\optimized-loader.js                                         | JavaScript |        127 |         14 |         27 |        168 |
| c:\dev\tickets-new\assets\js\performance-monitor.js                                      | JavaScript |        226 |         11 |         52 |        289 |
| c:\dev\tickets-new\assets\js\pwa-install.js                                              | JavaScript |        205 |         22 |         29 |        256 |
| c:\dev\tickets-new\assets\js\pwa-update.js                                               | JavaScript |        401 |         20 |         60 |        481 |
| c:\dev\tickets-new\assets\js\reservation-status.js                                       | JavaScript |        248 |         33 |         53 |        334 |
| c:\dev\tickets-new\assets\js\reservation.js                                              | JavaScript |        770 |        118 |        161 |      1,049 |
| c:\dev\tickets-new\assets\js\seat-config.js                                              | JavaScript |        257 |         29 |         41 |        327 |
| c:\dev\tickets-new\assets\js\seats-main.js                                               | JavaScript |      2,100 |        398 |        424 |      2,922 |
| c:\dev\tickets-new\assets\js\sidebar.js                                                  | JavaScript |        318 |         21 |         37 |        376 |
| c:\dev\tickets-new\assets\js\supabase-api.js                                             | JavaScript |      1,121 |        175 |        215 |      1,511 |
| c:\dev\tickets-new\assets\js\supabase-client.js                                          | JavaScript |        622 |         38 |        104 |        764 |
