"filename", "language", "Markdown", "JavaScript", "JSON", "CSV", "HTML", "MS SQL", "XML", "PostCSS", "YAML", "comment", "blank", "total"
"c:\dev\tickets-new\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 8, 39
"c:\dev\tickets-new\README.md", "Markdown", 400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 509
"c:\dev\tickets-new\SECURITY.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 44
"c:\dev\tickets-new\assets\css\admin-scan.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 354, 0, 15, 56, 425
"c:\dev\tickets-new\assets\css\admin.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1080, 0, 70, 165, 1315
"c:\dev\tickets-new\assets\css\logs.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 512, 0, 23, 100, 635
"c:\dev\tickets-new\assets\css\offline-sync-v2.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 753, 0, 23, 121, 897
"c:\dev\tickets-new\assets\css\reservation-status.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 461, 0, 18, 82, 561
"c:\dev\tickets-new\assets\css\reservation.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 875, 0, 57, 144, 1076
"c:\dev\tickets-new\assets\css\seats.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1140, 0, 113, 179, 1432
"c:\dev\tickets-new\assets\css\sidebar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 36, 249
"c:\dev\tickets-new\assets\css\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 325, 0, 5, 51, 381
"c:\dev\tickets-new\assets\css\walkin.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 279, 0, 9, 47, 335
"c:\dev\tickets-new\assets\js\admin-scan.js", "JavaScript", 0, 541, 0, 0, 0, 0, 0, 0, 0, 56, 97, 694
"c:\dev\tickets-new\assets\js\admin-settings.js", "JavaScript", 0, 235, 0, 0, 0, 0, 0, 0, 0, 20, 47, 302
"c:\dev\tickets-new\assets\js\admin.js", "JavaScript", 0, 1017, 0, 0, 0, 0, 0, 0, 0, 112, 206, 1335
"c:\dev\tickets-new\assets\js\admin\AdminAuth.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 6, 15, 82
"c:\dev\tickets-new\assets\js\admin\AdminLayout.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 11, 55
"c:\dev\tickets-new\assets\js\admin\AdminMonitoring.js", "JavaScript", 0, 1778, 0, 0, 0, 0, 0, 0, 0, 110, 223, 2111
"c:\dev\tickets-new\assets\js\admin\AdminSidebar.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 4, 69
"c:\dev\tickets-new\assets\js\admin\AdminUI.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 4, 41
"c:\dev\tickets-new\assets\js\api-cache.js", "JavaScript", 0, 252, 0, 0, 0, 0, 0, 0, 0, 39, 57, 348
"c:\dev\tickets-new\assets\js\api.js", "JavaScript", 0, 783, 0, 0, 0, 0, 0, 0, 0, 102, 125, 1010
"c:\dev\tickets-new\assets\js\audit-logger.js", "JavaScript", 0, 220, 0, 0, 0, 0, 0, 0, 0, 12, 29, 261
"c:\dev\tickets-new\assets\js\auth.js", "JavaScript", 0, 378, 0, 0, 0, 0, 0, 0, 0, 37, 45, 460
"c:\dev\tickets-new\assets\js\config.js", "JavaScript", 0, 319, 0, 0, 0, 0, 0, 0, 0, 51, 52, 422
"c:\dev\tickets-new\assets\js\connection-recovery.js", "JavaScript", 0, 182, 0, 0, 0, 0, 0, 0, 0, 20, 49, 251
"c:\dev\tickets-new\assets\js\custom-dialog.js", "JavaScript", 0, 192, 0, 0, 0, 0, 0, 0, 0, 12, 25, 229
"c:\dev\tickets-new\assets\js\enhanced-status-monitor.js", "JavaScript", 0, 327, 0, 0, 0, 0, 0, 0, 0, 48, 75, 450
"c:\dev\tickets-new\assets\js\error-handler.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 0, 0, 47, 27, 209
"c:\dev\tickets-new\assets\js\error-notification.js", "JavaScript", 0, 219, 0, 0, 0, 0, 0, 0, 0, 11, 27, 257
"c:\dev\tickets-new\assets\js\fallback-manager.js", "JavaScript", 0, 147, 0, 0, 0, 0, 0, 0, 0, 22, 30, 199
"c:\dev\tickets-new\assets\js\full-capacity-monitor.js", "JavaScript", 0, 197, 0, 0, 0, 0, 0, 0, 0, 28, 44, 269
"c:\dev\tickets-new\assets\js\idb-storage.js", "JavaScript", 0, 138, 0, 0, 0, 0, 0, 0, 0, 53, 29, 220
"c:\dev\tickets-new\assets\js\index-main.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 9, 16, 88
"c:\dev\tickets-new\assets\js\logs-main.js", "JavaScript", 0, 829, 0, 0, 0, 0, 0, 0, 0, 136, 157, 1122
"c:\dev\tickets-new\assets\js\maintenance-check.js", "JavaScript", 0, 243, 0, 0, 0, 0, 0, 0, 0, 30, 29, 302
"c:\dev\tickets-new\assets\js\offline-sync-v2.js", "JavaScript", 0, 2562, 0, 0, 0, 0, 0, 0, 0, 405, 350, 3317
"c:\dev\tickets-new\assets\js\optimized-api.js", "JavaScript", 0, 279, 0, 0, 0, 0, 0, 0, 0, 39, 50, 368
